Product_ID,Stock_Quantity,Reorder_Level,Reorder_Quantity,Date_Received,Expiration_Date,Warehouse_Location
81-605-6246,73,31,49,2025-01-26,2024-03-06,65721 Caliangt Crossing
73-561-2867,12,86,98,2024-10-10,2024-09-29,7444 Saint Paul Circle
19-967-0632,53,86,54,2024-08-14,2024-11-06,6990 Kings Place
23-070-2433,68,7,37,2024-08-08,2024-12-28,836 Brown Alley
27-262-2437,80,9,29,2024-08-26,2024-10-09,739 Swallow Road
39-479-5147,92,68,79,2024-12-24,2024-04-04,14 Talmadge Park
71-085-4290,31,98,72,2024-08-26,2024-12-04,2 Basil Street
48-957-6116,31,44,9,2024-05-30,2024-08-05,938 Hanover Point
83-917-7384,76,97,20,2024-03-27,2024-05-11,3 Ilene Terrace
26-031-8070,57,99,23,2024-07-25,2024-04-19,5414 Linden Point
03-149-9760,92,99,93,2025-02-19,2024-03-26,554 Eliot Point
53-680-5293,88,74,97,2024-05-28,2024-08-24,97687 Mendota Terrace
49-861-7823,99,8,27,2024-07-16,2024-08-10,26 Graceland Circle
24-364-3341,44,84,63,2024-07-29,2024-09-25,120 Gale Circle
80-374-5711,48,77,81,2025-01-28,2024-12-07,13 Bluejay Way
76-325-9093,27,92,56,2024-04-18,2024-12-18,01471 Burrows Lane
30-429-2162,34,96,76,2024-10-03,2025-01-15,6382 Anniversary Pass
53-446-8243,41,94,4,2025-02-04,2024-04-23,757 Grasskamp Drive
67-473-7093,56,12,85,2024-12-10,2024-04-19,87417 Forest Pass
98-235-2711,22,40,7,2024-09-12,2025-01-26,5 Transport Pass
07-219-8017,40,2,58,2024-10-31,2024-11-08,357 High Crossing Parkway
97-040-3822,50,99,73,2024-05-12,2024-05-17,42 Clemons Terrace
10-002-6494,89,92,62,2024-03-02,2024-11-11,48 Vahlen Place
12-998-3882,76,54,76,2024-10-01,2024-05-26,94862 Beilfuss Terrace
31-746-4951,67,60,21,2024-04-03,2024-09-06,759 Waywood Court
87-097-5691,62,78,97,2024-04-08,2024-03-26,236 Gateway Lane
34-075-0371,75,10,68,2024-09-11,2024-12-03,0039 Shelley Place
40-810-9261,75,47,33,2024-06-26,2024-05-23,3 Raven Court
46-931-6897,29,32,26,2024-09-21,2024-09-15,44 Kensington Road
58-182-6781,34,55,22,2024-10-11,2024-11-15,86 Maryland Junction
06-706-6490,15,66,85,2024-10-18,2024-03-15,443 Browning Terrace
47-578-4161,88,56,81,2024-05-10,2024-09-14,5 Forest Run Way
18-199-5799,40,81,40,2024-10-09,2024-10-30,87784 Blaine Way
00-357-2313,10,86,23,2024-06-29,2024-12-13,0 Oxford Crossing
83-704-6367,21,87,12,2024-11-17,2024-09-07,298 Corry Plaza
01-144-5960,75,25,99,2024-10-20,2024-07-13,52105 Mandrake Place
96-774-0457,56,50,80,2025-02-24,2024-10-22,7369 Thackeray Drive
24-310-9184,69,65,91,2024-07-05,2024-04-08,6 Haas Circle
10-255-8579,56,53,77,2024-07-12,2025-01-28,1959 Marcy Center
38-417-4656,24,69,2,2024-10-05,2024-12-23,1309 Elka Junction
53-080-8252,30,85,21,2024-12-19,2024-11-20,2 Grayhawk Junction
14-681-7035,36,90,57,2024-12-11,2024-05-18,95261 Morningstar Way
96-503-7712,93,76,82,2024-05-25,2025-01-19,84148 Prairie Rose Center
98-064-4465,96,38,17,2024-04-19,2024-11-11,109 Twin Pines Avenue
84-198-7276,60,88,65,2024-08-29,2024-06-15,6 Harbort Hill
18-278-2383,97,77,13,2024-11-11,2024-07-02,96 American Center
20-054-3716,11,6,100,2024-03-05,2024-02-25,39 Lakewood Gardens Center
63-822-5278,14,66,1,2024-08-13,2024-02-27,5900 Vahlen Avenue
01-439-6231,88,100,17,2024-12-11,2024-12-09,8 Spaight Circle
06-690-2335,24,15,6,2025-02-22,2024-05-07,5 Linden Terrace
47-554-5780,93,62,65,2024-06-09,2024-04-17,1 Westport Crossing
70-587-1204,68,68,97,2024-07-08,2024-06-23,2446 Anhalt Way
97-710-2449,28,94,80,2024-05-23,2024-06-19,0 Miller Pass
51-462-0747,21,30,32,2025-01-22,2024-03-10,453 Dryden Park
90-492-0564,92,96,56,2024-11-18,2024-07-20,54 Pawling Crossing
63-956-0739,68,12,42,2024-12-05,2024-12-22,6808 Chinook Parkway
30-832-5429,46,43,46,2025-01-10,2024-09-17,894 Kingsford Road
38-822-8005,47,20,65,2025-01-19,2024-03-31,6 Stang Hill
73-118-1117,52,88,55,2024-05-27,2024-11-13,482 Green Center
60-285-3783,51,62,95,2024-04-07,2025-01-15,37973 Parkside Junction
00-215-7434,14,63,74,2024-04-28,2024-11-28,389 Ridgeway Park
68-734-1585,62,44,11,2025-01-08,2024-07-13,3 Hagan Drive
08-703-1382,40,53,7,2025-02-21,2024-06-21,082 Clove Plaza
65-282-0419,50,100,91,2024-12-28,2024-12-05,509 Waywood Center
62-777-6010,77,20,37,2024-07-03,2024-11-05,5743 Superior Place
87-675-1506,31,89,7,2024-08-26,2024-05-21,60241 Portage Point
67-027-7269,35,19,30,2025-01-06,2024-11-09,615 Mayer Drive
72-066-4597,31,54,52,2025-02-20,2024-12-13,03 Fisk Alley
31-627-6025,56,62,64,2024-08-22,2025-01-20,44638 Corscot Lane
09-286-8107,90,62,54,2025-01-20,2024-12-15,75 Bunting Junction
77-013-1553,79,31,66,2024-04-10,2024-08-20,48788 Chinook Place
15-762-1058,29,83,91,2024-11-29,2025-01-04,083 Mccormick Park
48-193-1199,46,51,92,2024-05-07,2024-06-09,339 Paget Place
01-173-0029,42,4,53,2025-01-10,2024-04-12,8 Dakota Avenue
79-400-6216,16,56,13,2025-02-10,2024-10-02,4 Warbler Center
80-072-8774,89,95,41,2024-09-24,2024-10-15,239 Anderson Court
78-689-8958,20,43,43,2025-01-07,2024-03-29,04 Mesta Parkway
57-562-2358,37,94,76,2024-06-17,2025-02-04,00 6th Parkway
56-191-6497,97,41,68,2025-01-14,2025-01-07,844 Schurz Point
46-753-8430,98,77,7,2024-10-02,2024-08-05,60356 Derek Lane
48-461-3742,37,8,50,2024-07-06,2025-01-23,42719 Milwaukee Avenue
16-354-8122,97,99,96,2024-04-25,2024-11-27,66 Raven Pass
76-954-1442,97,77,99,2024-11-22,2024-03-18,43024 Elka Avenue
44-476-0390,90,92,56,2024-07-28,2024-03-14,022 Pierstorff Point
35-617-3857,46,31,89,2025-01-04,2024-03-06,292 Charing Cross Terrace
94-029-2717,40,8,98,2024-07-26,2024-06-09,071 Nobel Circle
49-526-7806,77,52,28,2024-12-19,2024-05-01,6744 Helena Pass
99-137-1730,62,79,23,2024-07-22,2024-10-18,4105 Fair Oaks Parkway
27-442-3654,59,17,1,2024-07-21,2024-12-03,67677 Lakewood Gardens Way
32-933-0329,23,38,54,2025-01-17,2024-04-15,57150 Del Sol Alley
93-813-2419,39,16,57,2024-12-21,2024-06-22,7407 Farragut Pass
85-440-3667,68,29,31,2024-08-06,2024-09-09,6151 Forster Drive
77-224-2227,75,46,75,2024-08-26,2024-10-26,5426 Fordem Pass
60-632-8752,96,16,48,2024-11-04,2025-01-26,48 Golf View Pass
99-561-4871,17,38,93,2025-02-14,2024-07-28,952 Rowland Junction
61-607-7622,23,38,25,2024-05-13,2025-01-15,329 Helena Park
11-745-3025,15,27,21,2024-06-11,2024-09-03,3104 Ridge Oak Hill
56-810-0550,71,7,6,2024-08-29,2024-09-04,376 Reinke Court
59-075-2457,97,26,15,2024-08-21,2024-11-10,2 Barby Lane
40-021-2400,29,18,86,2024-10-24,2024-05-11,265 Columbus Way
29-017-6255,46,64,17,2024-03-01,2025-01-31,20 Pennsylvania Parkway
92-291-7089,76,15,99,2025-02-01,2024-05-06,9307 Kingsford Road
69-287-9113,59,91,24,2024-10-27,2024-12-16,11 Golden Leaf Alley
76-540-6407,92,54,73,2025-02-07,2024-12-13,77 Prairie Rose Park
85-561-4694,28,27,22,2024-05-15,2024-05-11,1 Lake View Trail
34-928-2775,19,47,25,2024-12-18,2025-01-28,7945 Mayer Center
90-773-9557,85,28,21,2024-08-20,2024-06-12,904 Del Mar Crossing
57-394-1587,57,63,41,2024-08-25,2024-10-30,561 Blue Bill Park Road
28-008-2951,95,29,28,2024-07-20,2024-05-20,26 Barnett Junction
74-711-7160,84,69,77,2025-01-22,2024-06-01,44296 Kropf Avenue
22-895-6595,31,32,69,2024-02-29,2024-11-21,34642 Carpenter Place
19-214-5762,41,52,75,2024-04-06,2024-10-13,7 Bonner Terrace
95-349-0828,97,57,84,2024-09-27,2025-02-06,60 Towne Hill
00-963-2193,43,88,33,2024-07-19,2024-12-23,5030 Moose Junction
76-459-2392,74,4,67,2024-03-26,2024-05-24,2005 Mccormick Road
10-034-7654,70,96,92,2024-04-18,2024-05-28,21 Esker Way
24-972-6969,69,53,32,2024-09-11,2024-06-13,5862 Hooker Pass
94-190-5193,67,68,50,2024-09-23,2024-04-09,24385 Prentice Plaza
92-791-0606,18,62,2,2024-03-26,2024-09-06,739 Grayhawk Trail
84-629-1532,22,89,25,2024-02-25,2024-07-20,7 Sloan Park
68-977-2498,88,99,41,2024-07-30,2024-07-21,6482 Ramsey Alley
91-257-3672,78,75,3,2024-08-08,2024-07-05,10997 Dexter Parkway
09-536-2626,83,52,32,2024-10-17,2024-03-21,205 Straubel Court
61-801-8665,42,88,17,2024-10-19,2024-06-24,58 La Follette Park
38-296-6634,49,46,8,2024-10-22,2024-12-10,160 Kings Street
30-591-7275,17,88,41,2024-10-21,2025-01-18,7020 Porter Trail
83-763-5038,52,64,54,2024-11-22,2024-10-23,5 Armistice Parkway
37-709-3532,79,45,39,2024-10-29,2024-05-11,524 Saint Paul Park
62-795-7801,35,41,84,2024-08-17,2024-11-23,94451 Arkansas Park
98-575-4736,76,11,15,2024-10-20,2024-09-17,83 Pleasure Street
57-861-4379,93,8,51,2024-02-28,2025-02-04,64407 Marcy Plaza
00-119-8780,40,81,78,2025-02-17,2024-03-04,21 Sunbrook Court
28-824-9017,19,94,17,2024-08-22,2024-06-14,4 Jay Terrace
56-668-5370,70,96,21,2024-11-26,2024-08-03,05686 Golden Leaf Point
29-756-7042,90,52,50,2024-06-29,2024-05-07,99 Fair Oaks Circle
41-538-3129,77,79,65,2024-09-01,2024-07-31,2 Carioca Crossing
16-380-0753,38,22,71,2024-10-07,2024-05-08,701 Logan Court
26-535-4727,93,25,23,2024-06-21,2024-04-29,4 Darwin Circle
59-857-6577,23,100,77,2024-05-10,2024-03-04,230 Tony Court
14-550-2152,51,1,61,2024-03-29,2024-11-17,3 Forster Point
39-315-3936,57,62,72,2025-02-21,2024-08-10,850 Glacier Hill Drive
87-199-2743,59,74,100,2024-03-26,2024-11-12,38695 Kenwood Circle
60-771-0879,89,15,22,2024-11-17,2024-05-03,9 Karstens Center
00-440-9568,53,98,25,2024-09-23,2024-12-20,052 Northland Trail
07-074-1196,11,56,62,2024-04-14,2024-10-10,27 New Castle Avenue
69-674-5387,59,27,63,2024-06-15,2025-02-01,6211 Hanson Terrace
08-940-8578,34,29,65,2024-05-03,2024-11-22,74 Menomonie Point
94-020-6982,25,75,27,2025-01-02,2024-05-04,381 Rutledge Place
42-879-9478,81,22,20,2024-06-01,2024-08-22,86 Porter Junction
00-405-7428,81,74,45,2025-01-20,2025-01-12,42 Mallory Court
87-997-0228,71,4,37,2024-09-15,2024-12-27,26240 Maple Wood Place
05-498-7751,52,22,37,2024-10-28,2024-03-24,30408 5th Way
55-631-7937,26,54,90,2024-10-15,2025-01-21,82 Drewry Junction
27-389-3529,84,8,54,2025-01-14,2024-03-09,234 Eagle Crest Avenue
84-272-0790,28,86,44,2024-05-23,2024-07-29,53 Caliangt Junction
01-903-5373,94,77,89,2024-09-30,2024-06-21,32525 Marquette Park
49-311-3063,47,75,53,2025-02-06,2024-07-03,71 Bultman Drive
04-277-5245,20,51,21,2024-03-19,2024-06-18,911 Ridgeway Way
04-453-5485,84,20,58,2024-04-08,2024-04-02,2 Sunbrook Lane
42-141-5718,100,31,43,2024-09-13,2024-12-26,1700 Briar Crest Parkway
89-602-6755,74,90,26,2024-05-23,2024-07-17,4 Bashford Court
15-045-8444,27,12,93,2024-03-04,2024-03-27,97 Thierer Terrace
15-240-6267,91,55,94,2024-03-11,2024-04-26,25784 Old Gate Crossing
05-193-8096,82,21,85,2024-04-14,2024-07-08,38 Rutledge Plaza
93-342-8794,84,91,86,2025-01-08,2024-11-22,39102 Division Trail
83-716-2177,18,46,26,2024-04-10,2024-09-13,26266 Esker Point
56-635-6764,12,59,62,2024-06-03,2024-08-05,744 Green Center
10-249-7928,85,4,75,2024-08-18,2024-11-03,57598 Russell Center
65-759-3721,33,60,67,2024-06-16,2024-12-28,315 Acker Alley
08-725-8156,59,59,10,2024-08-18,2024-03-15,73397 Steensland Circle
15-679-3935,22,69,87,2025-02-09,2025-02-20,95 Garrison Plaza
81-578-7404,67,79,98,2025-02-13,2024-04-06,5989 Longview Drive
82-380-5378,78,24,31,2024-06-01,2024-03-07,05518 Saint Paul Street
78-362-8578,72,32,80,2024-07-06,2024-04-10,86 Corben Crossing
32-261-0008,63,48,22,2024-05-30,2024-07-18,2 Kingsford Center
74-943-9034,30,91,34,2024-07-11,2024-05-06,0 Saint Paul Center
86-330-0214,36,64,63,2024-03-15,2024-03-30,5818 Twin Pines Place
80-334-0215,88,27,92,2024-11-27,2024-06-22,611 Waubesa Circle
48-957-8596,95,25,91,2024-09-04,2024-10-18,3825 Raven Avenue
37-246-0018,30,59,76,2024-03-20,2024-04-11,52 Alpine Crossing
17-002-4721,31,55,5,2024-09-10,2024-10-29,379 Duke Court
47-802-5023,16,20,45,2024-04-30,2024-06-07,7096 Mcguire Park
22-319-1377,14,16,93,2024-07-23,2024-06-21,083 Gulseth Pass
57-903-6434,44,67,15,2024-03-13,2024-03-23,34 Linden Court
22-083-3347,69,82,58,2024-07-07,2024-04-30,38 Superior Road
65-145-9672,71,10,49,2024-08-11,2024-05-26,8 Dovetail Junction
95-252-9619,92,39,50,2024-12-27,2024-11-09,57453 Northwestern Alley
74-294-3760,49,17,54,2024-09-23,2024-11-27,0109 Stang Terrace
06-797-4963,52,8,37,2024-08-31,2024-08-16,1008 Welch Street
39-768-8205,56,97,29,2024-02-28,2024-11-29,32 Rigney Terrace
03-043-9933,16,23,76,2024-07-21,2025-02-08,884 Fieldstone Plaza
29-823-6004,52,79,87,2024-06-11,2024-03-10,3 Lawn Park
40-462-2952,91,68,80,2024-08-12,2024-11-19,0258 Shoshone Center
71-999-2404,58,58,28,2024-03-18,2025-01-29,18 Warrior Circle
03-919-9890,47,29,70,2024-08-09,2024-07-25,7 Riverside Road
94-525-6925,50,56,63,2024-03-27,2024-09-17,667 Arkansas Circle
08-213-2058,43,73,14,2024-07-28,2024-08-26,33 Clarendon Hill
51-312-8608,68,60,21,2024-02-27,2024-04-29,406 Westridge Alley
67-512-9754,19,100,83,2024-04-25,2024-03-22,69 Orin Plaza
45-402-0421,70,84,72,2024-07-20,2024-07-14,36 Longview Street
85-207-4164,97,20,72,2024-02-29,2024-12-10,41 Comanche Park
72-780-6006,87,24,19,2024-05-11,2024-04-17,88721 Dawn Crossing
93-166-3169,58,81,66,2024-06-24,2025-01-02,339 Crescent Oaks Plaza
21-718-6746,16,53,12,2024-06-11,2024-06-06,277 Pawling Terrace
93-966-7754,65,35,3,2024-08-11,2024-09-27,4 4th Place
47-663-5703,15,49,40,2024-12-06,2024-09-14,6500 Raven Drive
34-110-1040,75,85,27,2024-05-30,2024-06-24,42397 Knutson Place
82-342-7339,80,61,23,2024-07-27,2024-03-04,317 Anniversary Pass
43-670-8544,84,95,22,2024-06-20,2024-10-07,3 Logan Trail
12-439-8428,17,3,33,2024-03-21,2024-05-31,6 Rusk Pass
49-919-8798,64,31,91,2024-06-19,2024-10-10,3 Dottie Junction
73-567-6194,76,81,85,2024-03-04,2024-09-08,069 Basil Center
83-573-4586,77,95,82,2024-04-17,2024-07-18,84575 Randy Point
12-798-9401,18,14,77,2025-01-05,2024-05-25,5 Forster Point
02-895-7781,51,55,76,2025-02-19,2025-01-24,2582 Autumn Leaf Park
83-625-3618,68,12,73,2024-08-05,2024-07-04,2696 Katie Road
89-181-4523,46,6,64,2024-07-23,2024-12-22,022 Prairie Rose Drive
95-354-8583,98,40,93,2025-02-19,2024-10-20,848 Mariners Cove Junction
90-303-1821,50,20,74,2025-02-13,2024-10-05,6435 Burning Wood Drive
71-631-5875,88,83,42,2024-05-29,2024-10-25,13 Loomis Alley
02-275-6061,26,16,69,2024-06-30,2024-08-19,6891 Mandrake Park
04-001-1793,43,38,63,2024-03-31,2024-04-09,0 Stoughton Terrace
47-749-3277,46,20,30,2024-03-06,2024-09-13,502 Sachs Circle
